species,genus,lon,lat
Callitris_columellaris,Callitris,153.1333,-27.0833
Callitris_columellaris,Callitris,114.8195,-27.1212
Callitris_columellaris,Callitris,153.08,-27.17
Callitris_columellaris,Callitris,119.5221,-27.1863
Callitris_columellaris,Callitris,152.4633,-27.2519
Callitris_columellaris,Callitris,120.5133,-27.2753
Callitris_columellaris,Callitris,120.7667,-27.2833
Callitris_columellaris,Callitris,120.39,-27.2864
Callitris_columellaris,Callitris,130.05,-27.3333
Callitris_columellaris,Callitris,122.5706,-27.3386
Callitris_columellaris,Callitris,120.65,-27.3997
Callitris_columellaris,Callitris,130.3311,-27.4037
Callitris_columellaris,Callitris,120.5333,-27.4167
Callitris_columellaris,Callitris,152.4108,-27.4197
Callitris_columellaris,Callitris,152.5261,-27.5234
Callitris_columellaris,Callitris,152.6289,-27.5342
Callitris_columellaris,Callitris,115.0833,-27.5833
Callitris_columellaris,Callitris,153.4219,-27.6196
Callitris_columellaris,Callitris,119.8937,-27.6982
Callitris_columellaris,Callitris,119.3308,-27.7452
Callitris_columellaris,Callitris,114.7404,-27.8064
Callitris_columellaris,Callitris,153.0228,-27.8583
Callitris_columellaris,Callitris,115.5833,-27.9167
Callitris_columellaris,Callitris,149.6167,-27.9167
Callitris_columellaris,Callitris,119.9726,-27.9285
Callitris_columellaris,Callitris,119.6347,-27.932
Callitris_columellaris,Callitris,123.7014,-27.9681
Callitris_columellaris,Callitris,149.53,-27.97
Callitris_columellaris,Callitris,119.4667,-27.9833
Callitris_columellaris,Callitris,117.0595,-28.0037
Callitris_columellaris,Callitris,125.515,-28.0047
Callitris_columellaris,Callitris,120.2372,-28.0133
Callitris_columellaris,Callitris,147.17,-28.03
Callitris_columellaris,Callitris,124.3819,-28.0581
Callitris_columellaris,Callitris,117.8447,-28.0631
Callitris_columellaris,Callitris,119.5417,-28.0681
Callitris_columellaris,Callitris,114.35,-28.25
Callitris_columellaris,Callitris,122.0478,-28.2533
Callitris_columellaris,Callitris,117.845,-28.2658
Callitris_columellaris,Callitris,122.708,-28.2787
Callitris_columellaris,Callitris,122.5639,-28.3072
Callitris_columellaris,Callitris,116.3167,-28.3833
Callitris_columellaris,Callitris,115.9167,-28.4167
Callitris_columellaris,Callitris,117.75,-28.4167
Callitris_columellaris,Callitris,122.9769,-28.4194
Callitris_columellaris,Callitris,116.0356,-28.4464
Callitris_columellaris,Callitris,115.7881,-28.4764
Callitris_columellaris,Callitris,116.2614,-28.485
Callitris_columellaris,Callitris,145.5012,-28.4985
Callitris_columellaris,Callitris,152.9675,-28.4986
Callitris_columellaris,Callitris,115.6883,-28.5397
Callitris_columellaris,Callitris,153.0557,-28.55
Callitris_columellaris,Callitris,153.5333,-28.55
Callitris_columellaris,Callitris,116.25,-28.58
Callitris_columellaris,Callitris,122.8606,-28.6281
Callitris_columellaris,Callitris,132.1991,-28.6376
Callitris_columellaris,Callitris,118.6254,-28.7073
Callitris_columellaris,Callitris,119.9519,-28.7256
Callitris_columellaris,Callitris,118.4167,-28.75
Callitris_columellaris,Callitris,117.4695,-28.7932
Callitris_columellaris,Callitris,119.6403,-28.802
Callitris_columellaris,Callitris,118.65,-28.8333
Callitris_columellaris,Callitris,153.58,-28.87
Callitris_columellaris,Callitris,116.9438,-28.8734
Callitris_columellaris,Callitris,153.4667,-28.95
Callitris_columellaris,Callitris,153.4344,-29.0151
Callitris_columellaris,Callitris,118.3167,-29.05
Callitris_columellaris,Callitris,153.35,-29.07
Callitris_columellaris,Callitris,149.43,-29.13
Callitris_columellaris,Callitris,116.9105,-29.1603
Callitris_columellaris,Callitris,153.3833,-29.1667
Callitris_columellaris,Callitris,117.7808,-29.1747
Callitris_columellaris,Callitris,116.6035,-29.1793
Callitris_columellaris,Callitris,153.1677,-29.1817
Callitris_columellaris,Callitris,153.3683,-29.2265
Callitris_columellaris,Callitris,117.6833,-29.2667
Callitris_columellaris,Callitris,121.4653,-29.2708
Callitris_columellaris,Callitris,138.3785,-29.277
Callitris_columellaris,Callitris,117.7281,-29.2892
Callitris_columellaris,Callitris,123.2103,-29.2933
Callitris_columellaris,Callitris,130.05,-29.3167
Callitris_columellaris,Callitris,153.33,-29.33
Callitris_columellaris,Callitris,116.765,-29.3447
Callitris_columellaris,Callitris,120.1468,-29.397
Callitris_columellaris,Callitris,121.37,-29.42
Callitris_columellaris,Callitris,153.2206,-29.4507
Callitris_columellaris,Callitris,117.6817,-29.4561
Callitris_columellaris,Callitris,152.35,-29.4667
Callitris_columellaris,Callitris,117.1719,-29.4989
Callitris_columellaris,Callitris,116.9001,-29.5558
Callitris_columellaris,Callitris,122.75,-29.5833
Callitris_columellaris,Callitris,117.1919,-29.5947
Callitris_columellaris,Callitris,121.0283,-29.6047
Callitris_columellaris,Callitris,121.8233,-29.6631
Callitris_columellaris,Callitris,119.3031,-29.6667
Callitris_columellaris,Callitris,118.1566,-29.6994
Callitris_columellaris,Callitris,119.2189,-29.7257
Callitris_columellaris,Callitris,116.7661,-29.7822
Callitris_columellaris,Callitris,119.9693,-29.8398
Callitris_columellaris,Callitris,116.95,-29.85
Callitris_columellaris,Callitris,142.433,-29.85
Callitris_columellaris,Callitris,134.9797,-29.8593
Callitris_columellaris,Callitris,121.0998,-29.8714
Callitris_columellaris,Callitris,117.8892,-29.9333
Callitris_columellaris,Callitris,119.4867,-29.9498
Callitris_columellaris,Callitris,117.6753,-29.974
Callitris_columellaris,Callitris,117.3583,-29.9833
Callitris_columellaris,Callitris,136.6833,-29.9833
Callitris_columellaris,Callitris,119.642,-29.9973
Callitris_columellaris,Callitris,119.2881,-30.0094
Callitris_columellaris,Callitris,117.8544,-30.0274
Callitris_columellaris,Callitris,117.4436,-30.1131
Callitris_columellaris,Callitris,119.8612,-30.2015
Callitris_columellaris,Callitris,118.002,-30.2687
Callitris_columellaris,Callitris,149.7843,-30.3153
Callitris_columellaris,Callitris,118.9675,-30.3167
Callitris_columellaris,Callitris,138.15,-30.33
Callitris_columellaris,Callitris,117.4812,-30.3349
Callitris_columellaris,Callitris,119.7014,-30.3487
Callitris_columellaris,Callitris,118.5192,-30.4188
Callitris_columellaris,Callitris,120.6386,-30.4306
Callitris_columellaris,Callitris,122.35,-30.45
Callitris_columellaris,Callitris,118.6276,-30.4658
Callitris_columellaris,Callitris,121.915,-30.546
Callitris_columellaris,Callitris,138.2833,-30.55
Callitris_columellaris,Callitris,121.3781,-30.5581
Callitris_columellaris,Callitris,119.1067,-30.5994
Callitris_columellaris,Callitris,121.191,-30.628
Callitris_columellaris,Callitris,118.5364,-30.6717
Callitris_columellaris,Callitris,121.3403,-30.6956
Callitris_columellaris,Callitris,119.3722,-30.6975
Callitris_columellaris,Callitris,137.001,-30.732
Callitris_columellaris,Callitris,122.8511,-30.7397
Callitris_columellaris,Callitris,118.45,-30.75
Callitris_columellaris,Callitris,118.95,-30.8167
Callitris_columellaris,Callitris,119.25,-30.8333
Callitris_columellaris,Callitris,119.6667,-30.8714
Callitris_columellaris,Callitris,137.43,-30.88
Callitris_columellaris,Callitris,120.2083,-30.9342
Callitris_columellaris,Callitris,118.9122,-30.9372
Callitris_columellaris,Callitris,140.9999,-30.9509
Callitris_columellaris,Callitris,119.4867,-30.9641
Callitris_columellaris,Callitris,140.551,-30.9654
Callitris_columellaris,Callitris,136.8927,-30.9693
Callitris_columellaris,Callitris,141.8991,-30.9956
Callitris_columellaris,Callitris,118.6822,-30.9994
Callitris_columellaris,Callitris,118.8306,-31.0511
Callitris_columellaris,Callitris,147.15,-31.0667
Callitris_columellaris,Callitris,148.67,-31.08
Callitris_columellaris,Callitris,118.3092,-31.1158
Callitris_columellaris,Callitris,150.5167,-31.1167
Callitris_columellaris,Callitris,121.8574,-31.1253
Callitris_columellaris,Callitris,119.7073,-31.1598
Callitris_columellaris,Callitris,142.25,-31.1667
Callitris_columellaris,Callitris,120.306,-31.1688
Callitris_columellaris,Callitris,135.7147,-31.2294
Callitris_columellaris,Callitris,150.65,-31.23
Callitris_columellaris,Callitris,121.4667,-31.2333
Callitris_columellaris,Callitris,121.9317,-31.2381
Callitris_columellaris,Callitris,136.95,-31.2833
Callitris_columellaris,Callitris,135.3333,-31.3333
Callitris_columellaris,Callitris,138.75,-31.3833
Callitris_columellaris,Callitris,119.6478,-31.3997
Callitris_columellaris,Callitris,118.0333,-31.4167
Callitris_columellaris,Callitris,138.55,-31.4167
Callitris_columellaris,Callitris,150.65,-31.45
Callitris_columellaris,Callitris,118.9086,-31.474
Callitris_columellaris,Callitris,122.1397,-31.4881
Callitris_columellaris,Callitris,118.2675,-31.4956
Callitris_columellaris,Callitris,118.0706,-31.5406
Callitris_columellaris,Callitris,138.53,-31.58
Callitris_columellaris,Callitris,118.8333,-31.5833
Callitris_columellaris,Callitris,122.1383,-31.5947
Callitris_columellaris,Callitris,137.65,-31.6333
Callitris_columellaris,Callitris,119.5598,-31.6387
Callitris_columellaris,Callitris,141.3417,-31.6603
Callitris_columellaris,Callitris,141.45,-31.72
Callitris_columellaris,Callitris,118.5497,-31.75
Callitris_columellaris,Callitris,116.0929,-31.8829
Callitris_columellaris,Callitris,118.5342,-31.9086
Callitris_columellaris,Callitris,120.4365,-31.9462
Callitris_columellaris,Callitris,138.3747,-31.9561
Callitris_columellaris,Callitris,148.905,-31.9806
Callitris_columellaris,Callitris,141.45,-31.9833
Callitris_columellaris,Callitris,147.95,-31.9833
Callitris_columellaris,Callitris,120.7674,-31.9865
